SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-21-2018,Condo/Co-op,1111 23rd St NW Unit 3G,Washington,DC,20037,890000,2,2.0,WASHINGTON,1115,,2000,289,798,1695,Sold,,,http://www.redfin.com/DC/Washington/1111-23rd-St-NW-20037/unit-3G/home/148034377,BRIGHT MLS,1000472978,N,Y,38.9045083,-77.0490526
PAST SALE,June-25-2018,Condo/Co-op,1275 25th St NW #707,Washington,DC,20037,605000,2,1.0,WASHINGTON,849,,1990,285,713,365,Sold,,,http://www.redfin.com/DC/Washington/1275-25th-St-NW-20037/unit-707/home/146254584,BRIGHT MLS,1000288460,N,Y,38.9069154,-77.0530573
PAST SALE,May-21-2018,Condo/Co-op,2515 K St NW #404,Washington,DC,20037,349900,1,1.0,WASHINGTON,772,,1939,320,453,811,Sold,,,http://www.redfin.com/DC/Washington/2515-K-St-NW-20037/unit-404/home/9041587,BRIGHT MLS,1000365744,N,Y,38.9026671,-77.05392
PAST SALE,,Condo/Co-op,1301 20th St NW Apt 416,Washington,DC,20036,256000,0,1.0,,467,,1973,,548,,,,,http://www.redfin.com/DC/Washington/1301-20th-St-NW-20036/unit-416/home/9060140,,,N,Y,38.9072399,-77.0447037
PAST SALE,March-20-2018,Condo/Co-op,1177 22nd St NW Unit 7H,Washington,DC,20037,1549900,2,2.0,WASHINGTON,1401,,2008,382,1106,1690,Sold,,,http://www.redfin.com/DC/Washington/1177-22nd-St-NW-20037/unit-7H/home/21645498,BRIGHT MLS,1005921837,N,Y,38.9048618,-77.0482951
PAST SALE,June-26-2018,Condo/Co-op,2201 L St NW #112,Washington,DC,20037,315000,0,1.0,WASHINGTON,475,,1967,284,663,408,Sold,,,http://www.redfin.com/DC/Washington/2201-L-St-NW-20037/unit-112/home/9049621,BRIGHT MLS,1000339338,N,Y,38.9038969,-77.0488783
PAST SALE,May-29-2018,Townhouse,2715 P St NW,Washington,DC,20007,2140000,6,6.5,WASHINGTON,2714,1953,1893,312,789,,Sold,,,http://www.redfin.com/DC/Washington/2715-P-St-NW-20007/home/9929643,BRIGHT MLS,1000177192,N,Y,38.9095681,-77.0560978
PAST SALE,April-11-2018,Condo/Co-op,1330 New Hampshire Ave NW #625,Washington,DC,20036,440000,1,1.0,WASHINGTON,765,,1917,360,575,639,Sold,,,http://www.redfin.com/DC/Washington/1330-New-Hampshire-Ave-NW-20036/unit-625/home/9056757,BRIGHT MLS,1000183622,N,Y,38.9081797,-77.0450162
PAST SALE,June-22-2017,Townhouse,2457 P St NW,Washington,DC,20007,1900000,5,4.5,WASHINGTON,2809,3410,1900,653,676,,Sold,,,http://www.redfin.com/DC/Washington/2457-P-St-NW-20007/home/9928568,BRIGHT MLS,1001380851,N,Y,38.9096738,-77.0534668
PAST SALE,August-14-2017,Condo/Co-op,1155 23rd St NW Unit N6C,Washington,DC,20037,1360000,2,2.5,WASHINGTON,1859,,2000,600,732,2691,Sold,,,http://www.redfin.com/DC/Washington/1155-23rd-St-NW-20037/unit-N6C/home/146960135,BRIGHT MLS,1000080202,N,Y,38.9048068,-77.0497606
