SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,822 25th St NW,Washington,DC,20037,1100000,3,2.5,FOGGY BOTTOM,2872,2134,1780,1,383,,Active,,,http://www.redfin.com/DC/Washington/822-25th-St-NW-20037/home/9043048,BRIGHT MLS,DCDC420840,N,Y,38.900242,-77.0535456
MLS Listing,,Condo/Co-op,410 O St SW #306,Washington,DC,20024,475000,2,2.0,RLA (SW),1163,1226,1965,1,408,1009,Active,April-14-2019 01:00 PM,April-14-2019 04:00 PM,http://www.redfin.com/DC/Washington/410-O-St-SW-20024/unit-306/home/9882414,BRIGHT MLS,DCDC420838,N,Y,38.8732828,-77.0176693
MLS Listing,,Townhouse,300 15th St SE,Washington,DC,20003,853000,3,2.5,OLD CITY #1,1600,1211,1911,2,533,,Active,,,http://www.redfin.com/DC/Washington/300-15th-St-SE-20003/home/40270988,BRIGHT MLS,DCDC420618,N,Y,38.8851619,-76.9834552
MLS Listing,,Townhouse,1102 Varney St SE,Washington,DC,20032,359000,3,2.5,CONGRESS HEIGHTS,1280,2644,2002,2,280,40,Active,April-7-2019 01:00 PM,April-7-2019 04:00 PM,http://www.redfin.com/DC/Washington/1102-Varney-St-SE-20032/home/10191760,BRIGHT MLS,DCDC420346,N,Y,38.836208,-76.989728
MLS Listing,,Condo/Co-op,1390 V St NW #117,Washington,DC,20009,699900,2,2.5,OLD CITY #2,1061,313,2005,2,660,560,Active,April-7-2019 01:00 PM,April-7-2019 04:00 PM,http://www.redfin.com/DC/Washington/1390-V-St-NW-20009/unit-117/home/10192337,BRIGHT MLS,DCDC420064,N,Y,38.9178292,-77.0314446
MLS Listing,,Townhouse,5302 Chillum Pl NE,Washington,DC,20011,599000,3,2.5,RIGGS PARK,1632,2910,1954,2,367,,Active,April-7-2019 01:00 PM,April-7-2019 04:00 PM,http://www.redfin.com/DC/Washington/5302-Chillum-Pl-NE-20011/home/10082667,BRIGHT MLS,DCDC420622,N,Y,38.9552495,-76.9944461
MLS Listing,,Condo/Co-op,1437 Spring Rd NW #11,Washington,DC,20010,393900,2,1.0,COLUMBIA HEIGHTS,689,453,1923,2,572,332,Active,,,http://www.redfin.com/DC/Washington/1437-Spring-Rd-NW-20010/unit-11/home/11748199,BRIGHT MLS,DCDC420612,N,Y,38.9376895,-77.0346382
MLS Listing,,Townhouse,23 O St SW #23,Washington,DC,20024,599000,3,2.5,OLD CITY #1,1062,2356,2004,2,564,250,Active,,,http://www.redfin.com/DC/Washington/23-O-St-SW-20024/unit-23/home/21647756,BRIGHT MLS,DCDC419914,N,Y,38.8730702,-77.0101664
MLS Listing,,Condo/Co-op,318 Rhode Island Ave NE #103,Washington,DC,20002,310000,1,1.0,BROOKLAND,605,364,2002,2,512,315,Active,,,http://www.redfin.com/DC/Washington/318-Rhode-Island-Ave-NE-20002/unit-103/home/10184667,BRIGHT MLS,DCDC403868,N,Y,38.9194646,-77.0018109
MLS Listing,,Single Family Residential,2818 N Glade St NW,Washington,DC,20016,1099000,4,3.5,KENT,2550,6664,1966,2,431,,Active,April-7-2019 01:00 PM,April-7-2019 04:00 PM,http://www.redfin.com/DC/Washington/2818-N-Glade-St-NW-20016/home/9942326,BRIGHT MLS,DCDC420180,N,Y,38.927868,-77.1016585
